t_start_utc,t_end_utc,n_images,mats_obs_utc,awe_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,awe_center_lat_deg,awe_center_lon_deg,cross_track_km,distance_tp_to_awe_km
2024-03-08T00:28:42Z,2024-03-08T00:30:27Z,36,2024-03-08T00:29:36Z,2024-03-08T00:38:48Z,9.2,25.592,78.655,25.609,78.671,2.5,2.5
2024-03-08T01:16:54Z,2024-03-08T01:18:39Z,36,2024-03-08T01:17:45Z,2024-03-08T01:25:12Z,7.5,-25.847,-113.34,-25.837,-113.36,2.2,2.2
2024-03-08T02:04:54Z,2024-03-08T02:06:39Z,36,2024-03-08T02:05:48Z,2024-03-08T02:11:30Z,5.7,25.988,54.67,26.055,54.645,3.3,7.9
2024-03-08T02:53:06Z,2024-03-08T02:54:51Z,36,2024-03-08T02:53:57Z,2024-03-08T02:57:54Z,4.0,-26.242,-137.325,-26.283,-137.388,1.3,7.8
2024-03-08T03:41:06Z,2024-03-08T03:42:51Z,36,2024-03-08T03:42:00Z,2024-03-08T03:44:15Z,2.2,26.385,30.686,26.36,30.752,2.8,7.2
2024-03-08T04:29:18Z,2024-03-08T04:31:03Z,36,2024-03-08T04:30:09Z,2024-03-08T04:30:39Z,0.5,-26.636,-161.31,-26.587,-161.283,1.8,6.0
2024-03-08T05:17:21Z,2024-03-08T05:19:03Z,35,2024-03-08T05:18:12Z,2024-03-08T05:16:57Z,-1.2,26.781,6.702,26.803,6.72,2.9,3.0
2024-03-08T06:05:30Z,2024-03-08T06:07:12Z,35,2024-03-08T06:06:21Z,2024-03-08T06:03:21Z,-3.0,-27.03,174.706,-27.031,174.683,1.6,2.3
2024-03-08T06:53:33Z,2024-03-08T06:55:15Z,35,2024-03-08T06:54:24Z,2024-03-08T06:49:39Z,-4.8,27.179,-17.281,27.247,-17.318,2.7,8.4
2024-03-08T07:41:42Z,2024-03-08T07:43:24Z,35,2024-03-08T07:42:33Z,2024-03-08T07:36:03Z,-6.5,-27.424,150.723,-27.468,150.648,1.9,8.9
2024-03-08T08:29:45Z,2024-03-08T08:31:27Z,35,2024-03-08T08:30:36Z,2024-03-08T08:22:24Z,-8.2,27.575,-41.264,27.547,-41.218,1.1,5.5
2024-03-08T09:17:54Z,2024-03-08T09:19:36Z,35,2024-03-08T09:18:45Z,2024-03-08T09:08:48Z,-9.9,-27.818,126.74,-27.768,126.748,3.3,5.6
2024-03-08T10:05:57Z,2024-03-08T10:07:39Z,35,2024-03-08T10:06:48Z,2024-03-08T09:55:06Z,-11.7,27.971,-65.247,27.985,-65.259,0.3,2.0
2024-03-08T10:54:06Z,2024-03-08T10:55:48Z,35,2024-03-08T10:54:57Z,2024-03-08T10:41:30Z,-13.4,-28.211,102.757,-28.21,102.701,4.0,5.5
2024-03-08T11:42:09Z,2024-03-08T11:43:51Z,35,2024-03-08T11:43:00Z,2024-03-08T11:27:48Z,-15.2,28.366,-89.229,28.422,-89.303,0.8,9.5
2024-03-08T12:30:18Z,2024-03-08T12:32:03Z,36,2024-03-08T12:31:09Z,2024-03-08T12:14:15Z,-16.9,-28.604,78.775,-28.508,78.797,6.1,11.0
2024-03-08T13:18:21Z,2024-03-08T13:20:03Z,35,2024-03-08T13:19:12Z,2024-03-08T13:00:33Z,-18.6,28.762,-113.211,28.708,-113.199,3.4,6.1
2024-03-08T14:06:30Z,2024-03-08T14:08:15Z,36,2024-03-08T14:07:21Z,2024-03-08T13:46:57Z,-20.4,-28.997,54.793,-28.931,54.757,7.7,8.2
2024-03-08T14:54:33Z,2024-03-08T14:56:15Z,35,2024-03-08T14:55:24Z,2024-03-08T14:33:15Z,-22.1,29.157,-137.192,29.14,-137.248,5.2,5.8
2024-03-08T15:42:42Z,2024-03-08T15:44:27Z,36,2024-03-08T15:43:36Z,2024-03-08T15:19:42Z,-23.9,-29.207,30.767,-29.224,30.851,7.1,8.4
2024-03-08T16:30:48Z,2024-03-08T16:32:27Z,34,2024-03-08T16:31:39Z,2024-03-08T16:06:00Z,-25.6,29.367,-161.218,29.433,-161.156,9.4,9.4
2024-03-08T17:18:57Z,2024-03-08T17:20:39Z,35,2024-03-08T17:19:48Z,2024-03-08T16:52:24Z,-27.4,-29.601,6.786,-29.662,6.788,5.0,6.8
2024-03-08T18:07:00Z,2024-03-08T18:08:39Z,34,2024-03-08T18:07:48Z,2024-03-08T17:38:42Z,-29.1,29.949,174.848,29.866,174.782,11.0,11.2
