t_start_utc,t_end_utc,n_images,mats_obs_utc,awe_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,awe_center_lat_deg,awe_center_lon_deg,cross_track_km,distance_sat_to_awe_km
2024-03-08T00:35:30Z,2024-03-08T00:37:15Z,36,2024-03-08T00:36:21Z,2024-03-08T00:38:15Z,1.9,27.167,77.242,27.153,77.165,6.5,7.7
2024-03-08T01:23:42Z,2024-03-08T01:25:27Z,36,2024-03-08T01:24:36Z,2024-03-08T01:24:42Z,0.1,-27.247,-114.807,-27.24,-114.733,4.8,7.4
2024-03-08T02:11:42Z,2024-03-08T02:13:27Z,36,2024-03-08T02:12:36Z,2024-03-08T02:11:00Z,-1.6,27.379,53.215,27.455,53.266,9.5,9.9
2024-03-08T02:59:57Z,2024-03-08T03:01:39Z,35,2024-03-08T03:00:48Z,2024-03-08T02:57:24Z,-3.4,-27.644,-138.79,-27.681,-138.773,4.1,4.5
2024-03-08T03:47:54Z,2024-03-08T03:49:39Z,36,2024-03-08T03:48:45Z,2024-03-08T03:43:42Z,-5.0,27.964,29.277,27.895,29.225,9.0,9.2
2024-03-08T04:36:09Z,2024-03-08T04:37:51Z,35,2024-03-08T04:37:00Z,2024-03-08T04:30:06Z,-6.9,-28.04,-162.773,-28.12,-162.817,3.1,9.9
2024-03-08T05:24:09Z,2024-03-08T05:25:51Z,35,2024-03-08T05:25:00Z,2024-03-08T05:16:27Z,-8.6,28.176,5.25,28.194,5.322,6.4,7.3
2024-03-08T06:12:21Z,2024-03-08T06:14:03Z,35,2024-03-08T06:13:12Z,2024-03-08T06:02:51Z,-10.3,-28.437,173.246,-28.419,173.278,0.8,3.8
2024-03-08T07:00:21Z,2024-03-08T07:02:03Z,35,2024-03-08T07:01:12Z,2024-03-08T06:49:09Z,-12.1,28.574,-18.731,28.633,-18.729,4.7,6.5
2024-03-08T07:48:33Z,2024-03-08T07:50:15Z,35,2024-03-08T07:49:24Z,2024-03-08T07:35:33Z,-13.8,-28.834,149.264,-28.851,149.231,0.9,3.8
2024-03-08T08:36:33Z,2024-03-08T08:38:15Z,35,2024-03-08T08:37:24Z,2024-03-08T08:21:54Z,-15.5,28.972,-42.712,28.929,-42.637,1.8,8.7
2024-03-08T09:24:45Z,2024-03-08T09:26:27Z,35,2024-03-08T09:25:36Z,2024-03-08T09:08:18Z,-17.3,-29.23,125.283,-29.147,125.322,3.9,9.9
2024-03-08T10:12:45Z,2024-03-08T10:14:27Z,35,2024-03-08T10:13:36Z,2024-03-08T09:54:36Z,-19.0,29.369,-66.692,29.362,-66.691,0.5,0.9
2024-03-08T11:00:57Z,2024-03-08T11:02:39Z,35,2024-03-08T11:01:48Z,2024-03-08T10:41:00Z,-20.8,-29.625,101.303,-29.583,101.262,6.1,6.1
2024-03-08T11:48:57Z,2024-03-08T11:50:39Z,35,2024-03-08T11:49:48Z,2024-03-08T11:27:18Z,-22.5,29.767,-90.672,29.792,-90.748,3.1,7.8
2024-03-08T12:37:12Z,2024-03-08T12:38:51Z,34,2024-03-08T12:38:03Z,2024-03-08T12:13:45Z,-24.3,-29.836,77.277,-29.877,77.349,8.1,8.2
2024-03-08T13:25:12Z,2024-03-08T13:26:51Z,34,2024-03-08T13:26:00Z,2024-03-08T13:00:03Z,-25.9,30.164,-114.652,30.075,-114.652,7.1,9.9
2024-03-08T14:13:24Z,2024-03-08T14:15:06Z,35,2024-03-08T14:14:15Z,2024-03-08T13:46:27Z,-27.8,-30.232,53.298,-30.294,53.297,4.9,7.0
2024-03-08T15:01:24Z,2024-03-08T15:03:03Z,34,2024-03-08T15:02:12Z,2024-03-08T14:32:45Z,-29.4,30.561,-138.631,30.5,-138.715,10.5,10.5
