mats_obs_utc,aim_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_tp_to_aim_km
2023-02-09T18:11:01Z,2023-02-09T18:04:00Z,-7.0,81.529,-113.275,78.493,-118.35,293.8,351.6
2023-02-09T18:12:01Z,2023-02-09T18:05:00Z,-7.0,79.877,-134.509,80.894,-135.156,90.9,113.9
2023-02-09T19:00:02Z,2023-02-09T18:52:00Z,-8.0,-80.296,37.256,-80.288,38.707,15.0,27.3
2023-02-09T19:48:01Z,2023-02-09T19:39:00Z,-9.0,80.857,-148.942,79.584,-148.019,96.0,142.7
2023-02-09T19:49:01Z,2023-02-09T19:40:00Z,-9.0,78.676,-166.482,81.586,-168.148,287.4,325.4
2023-02-09T20:36:01Z,2023-02-09T20:26:00Z,-10.0,-81.187,24.081,-78.837,24.475,179.1,261.7
2023-02-09T20:37:03Z,2023-02-09T20:27:00Z,-10.1,-79.176,4.519,-81.121,6.773,212.4,220.7
2023-02-09T21:23:59Z,2023-02-09T21:14:00Z,-10.0,81.571,-160.474,80.543,-178.966,300.4,338.1
2023-02-09T21:24:59Z,2023-02-09T21:14:00Z,-11.0,79.968,177.96,80.543,-178.966,85.1,86.3
2023-02-09T22:11:58Z,2023-02-09T22:01:00Z,-11.0,-81.724,13.445,-79.889,-5.539,385.3,391.9
2023-02-09T22:13:00Z,2023-02-09T22:01:00Z,-12.0,-80.387,-10.149,-79.889,-5.539,8.5,103.9
2023-02-09T23:00:59Z,2023-02-09T22:48:00Z,-13.0,80.93,163.731,79.143,167.354,101.2,210.7
2023-02-09T23:01:59Z,2023-02-09T22:49:00Z,-13.0,78.792,145.886,81.325,148.646,278.9,286.9
2023-02-09T23:48:57Z,2023-02-09T23:36:00Z,-13.0,-81.279,-22.647,-80.797,-36.877,195.5,251.9
2023-02-09T23:49:59Z,2023-02-09T23:36:00Z,-14.0,-79.34,-42.704,-80.797,-36.877,195.8,196.8
2023-02-10T00:36:57Z,2023-02-10T00:23:00Z,-14.0,81.603,152.051,80.163,136.956,299.6,309.4
2023-02-10T00:37:57Z,2023-02-10T00:23:00Z,-15.0,80.039,130.267,80.163,136.956,82.8,128.7
2023-02-10T01:25:02Z,2023-02-10T01:10:00Z,-15.0,-81.686,-36.469,-79.467,-50.026,347.2,347.8
2023-02-10T01:25:58Z,2023-02-10T01:10:00Z,-16.0,-80.465,-57.632,-79.467,-50.026,3.9,184.4
2023-02-10T01:27:00Z,2023-02-10T01:11:00Z,-16.0,-78.048,-73.988,-81.514,-69.679,390.8,394.8
2023-02-10T02:14:01Z,2023-02-10T01:58:00Z,-16.0,80.88,114.806,81.026,105.164,80.9,169.4
2023-02-10T02:15:01Z,2023-02-10T01:58:00Z,-17.0,78.71,97.174,81.026,105.164,299.4,301.0
2023-02-10T03:02:01Z,2023-02-10T02:45:00Z,-17.0,-81.199,-72.266,-80.442,-80.807,160.9,173.3
2023-02-10T03:02:57Z,2023-02-10T02:45:00Z,-18.0,-79.439,-90.283,-80.442,-80.807,188.8,215.0
2023-02-10T03:50:01Z,2023-02-10T03:32:00Z,-18.0,81.543,102.259,79.759,92.617,263.1,263.6
2023-02-10T03:51:01Z,2023-02-10T03:32:00Z,-19.0,79.905,80.921,79.759,92.617,115.9,230.0
2023-02-10T04:37:58Z,2023-02-10T04:19:00Z,-19.0,-81.726,-82.962,-79.027,-94.749,359.6,370.5
2023-02-10T04:39:00Z,2023-02-10T04:20:00Z,-19.0,-80.395,-106.563,-81.245,-113.017,25.1,148.5
2023-02-10T05:26:59Z,2023-02-10T05:07:00Z,-20.0,80.944,67.44,80.694,61.407,85.1,110.7
2023-02-10T05:27:59Z,2023-02-10T05:07:00Z,-21.0,78.815,49.524,80.694,61.407,291.6,313.7
2023-02-11T18:27:01Z,2023-02-11T18:57:00Z,30.0,79.974,-137.49,80.793,-146.974,31.4,198.2
2023-02-11T18:28:01Z,2023-02-11T18:57:00Z,29.0,77.442,-151.903,80.793,-146.974,375.7,386.9
2023-02-11T19:15:02Z,2023-02-11T19:44:00Z,29.0,-80.413,34.595,-80.187,26.635,116.7,151.3
2023-02-11T19:15:57Z,2023-02-11T19:44:00Z,28.0,-78.251,19.734,-80.187,26.635,258.7,258.7
2023-02-11T20:02:59Z,2023-02-11T20:31:00Z,28.0,80.978,-151.087,79.477,-160.221,239.7,239.7
2023-02-11T20:03:59Z,2023-02-11T20:31:00Z,27.0,78.872,-169.159,79.477,-160.221,166.8,198.4
2023-02-11T20:50:59Z,2023-02-11T21:18:00Z,27.0,-81.298,22.217,-78.741,12.092,330.4,344.2
2023-02-11T20:52:01Z,2023-02-11T21:18:00Z,26.0,-79.377,2.023,-78.741,12.092,85.7,223.9
2023-02-11T21:39:59Z,2023-02-11T22:06:00Z,26.0,80.04,174.798,80.471,168.806,31.0,122.6
2023-02-11T21:40:59Z,2023-02-11T22:06:00Z,25.0,77.527,160.182,80.471,168.806,374.5,374.6
2023-02-11T22:27:58Z,2023-02-11T22:53:00Z,25.0,-80.54,-12.384,-79.825,-17.964,130.1,132.4
2023-02-11T22:29:00Z,2023-02-11T22:53:00Z,24.0,-78.156,-29.009,-79.825,-17.964,284.7,298.6
2023-02-11T23:15:57Z,2023-02-11T23:40:00Z,24.0,81.033,161.384,79.078,154.842,239.7,251.0
