mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-09T18:16:58Z,2023-02-09T18:05:00Z,-12.0,81.981,-116.319,80.894,-135.156,291.2,332.9
2023-02-09T18:17:58Z,2023-02-09T18:05:00Z,-13.0,80.171,-137.69,80.894,-135.156,93.0,93.0
2023-02-09T19:06:02Z,2023-02-09T18:52:00Z,-14.0,-80.775,35.197,-80.288,38.707,8.3,84.1
2023-02-09T19:06:57Z,2023-02-09T18:53:00Z,-14.0,-78.482,20.566,-81.928,16.231,344.5,392.0
2023-02-09T19:53:58Z,2023-02-09T19:39:00Z,-15.0,81.236,-152.064,79.584,-148.019,95.1,198.5
2023-02-09T19:54:58Z,2023-02-09T19:40:00Z,-15.0,78.926,-169.364,81.586,-168.148,284.8,297.0
2023-02-09T20:42:00Z,2023-02-09T20:27:00Z,-15.0,-81.713,22.399,-81.121,6.773,204.5,266.9
2023-02-09T20:43:02Z,2023-02-09T20:27:00Z,-16.0,-79.599,2.281,-81.121,6.773,189.0,189.0
2023-02-09T21:30:02Z,2023-02-09T21:14:00Z,-16.0,81.911,-166.082,80.543,-178.966,256.7,265.6
2023-02-09T21:31:02Z,2023-02-09T21:14:00Z,-17.0,80.031,173.046,80.543,-178.966,124.4,160.3
2023-02-09T22:18:59Z,2023-02-09T22:01:00Z,-18.0,-80.865,-12.231,-79.889,-5.539,15.0,165.1
2023-02-09T22:20:01Z,2023-02-09T22:02:00Z,-18.0,-78.315,-28.449,-81.743,-26.61,374.2,383.2
2023-02-09T23:07:02Z,2023-02-09T22:49:00Z,-18.0,81.11,158.24,81.325,148.646,61.6,164.6
2023-02-09T23:08:02Z,2023-02-09T22:49:00Z,-19.0,78.743,141.469,81.325,148.646,317.7,318.4
2023-02-09T23:54:56Z,2023-02-09T23:36:00Z,-18.9,-81.81,-24.23,-80.797,-36.877,219.1,240.2
2023-02-09T23:55:58Z,2023-02-09T23:36:00Z,-20.0,-79.769,-44.932,-80.797,-36.877,171.4,189.5
2023-02-10T00:43:00Z,2023-02-10T00:23:00Z,-20.0,81.955,146.528,80.163,136.956,258.4,258.6
2023-02-10T00:44:00Z,2023-02-10T00:23:00Z,-21.0,80.115,125.364,80.163,136.956,119.8,220.7
2023-02-10T01:31:01Z,2023-02-10T01:10:00Z,-21.0,-82.249,-37.411,-79.467,-50.026,371.3,379.9
2023-02-10T01:31:57Z,2023-02-10T01:11:00Z,-21.0,-80.949,-59.661,-81.514,-69.679,23.4,181.0
2023-02-10T01:32:59Z,2023-02-10T01:11:00Z,-22.0,-78.431,-76.192,-81.514,-69.679,365.1,365.1
2023-02-10T02:20:00Z,2023-02-10T01:58:00Z,-22.0,81.185,110.815,81.026,105.164,66.6,98.8
2023-02-10T02:21:00Z,2023-02-10T01:58:00Z,-23.0,78.85,93.739,81.026,105.164,309.7,327.6
2023-02-10T03:08:00Z,2023-02-10T02:45:00Z,-23.0,-81.727,-73.889,-80.442,-80.807,186.0,186.1
2023-02-10T03:09:02Z,2023-02-10T02:45:00Z,-24.0,-79.622,-94.088,-80.442,-80.807,201.1,271.0
2023-02-10T03:56:00Z,2023-02-10T03:32:00Z,-24.0,81.964,98.524,79.759,92.617,250.6,266.5
2023-02-10T03:57:00Z,2023-02-10T03:33:00Z,-24.0,80.135,77.283,81.681,71.899,122.6,196.2
2023-02-10T04:45:00Z,2023-02-10T04:20:00Z,-25.0,-80.875,-108.62,-81.245,-113.017,0.5,86.5
2023-02-10T04:46:02Z,2023-02-10T04:20:00Z,-26.0,-78.33,-124.879,-81.245,-113.017,384.7,398.5
2023-02-10T05:32:58Z,2023-02-10T05:07:00Z,-26.0,81.254,63.393,80.694,61.407,71.2,71.4
2023-02-10T05:33:58Z,2023-02-10T05:07:00Z,-27.0,78.953,46.017,80.694,61.407,302.0,357.8
2023-02-11T12:54:57Z,2023-02-11T13:25:00Z,30.0,-81.014,130.21,-78.441,131.76,175.0,288.1
2023-02-11T12:55:59Z,2023-02-11T13:26:00Z,30.0,-78.521,113.429,-80.851,115.174,241.4,261.6
