t_start_utc,t_end_utc,n_images,mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-09T00:35:21Z,2023-02-09T00:37:18Z,40,2023-02-09T00:36:21Z,2023-02-09T00:44:18Z,8.0,80.388,129.256,80.421,129.477,5.3,5.5
2023-02-09T01:23:42Z,2023-02-09T01:25:39Z,40,2023-02-09T01:24:39Z,2023-02-09T01:31:36Z,7.0,-80.472,-62.154,-80.436,-62.478,6.7,7.2
2023-02-09T02:11:51Z,2023-02-09T02:13:48Z,40,2023-02-09T02:12:51Z,2023-02-09T02:18:54Z,6.0,80.394,105.18,80.443,105.641,9.3,10.1
2023-02-09T03:00:09Z,2023-02-09T03:02:09Z,41,2023-02-09T03:01:09Z,2023-02-09T03:06:12Z,5.0,-80.478,-86.231,-80.46,-86.328,2.6,2.7
2023-02-09T03:48:21Z,2023-02-09T03:50:18Z,40,2023-02-09T03:49:18Z,2023-02-09T03:53:30Z,4.2,80.512,82.01,80.467,81.792,6.4,6.5
2023-02-09T04:36:39Z,2023-02-09T04:38:39Z,41,2023-02-09T04:37:39Z,2023-02-09T04:40:48Z,3.1,-80.484,-110.31,-80.483,-110.179,1.4,2.4
2023-02-09T05:24:48Z,2023-02-09T05:26:48Z,41,2023-02-09T05:25:48Z,2023-02-09T05:28:06Z,2.3,80.518,57.933,80.49,57.938,2.5,3.1
2023-02-09T06:13:09Z,2023-02-09T06:15:09Z,41,2023-02-09T06:14:09Z,2023-02-09T06:15:24Z,1.2,-80.489,-134.389,-80.507,-134.037,5.3,6.8
2023-02-09T07:01:18Z,2023-02-09T07:03:18Z,41,2023-02-09T07:02:18Z,2023-02-09T07:02:42Z,0.4,80.524,33.856,80.515,34.077,1.4,4.2
2023-02-09T07:49:39Z,2023-02-09T07:51:39Z,41,2023-02-09T07:50:36Z,2023-02-09T07:50:00Z,-0.6,-80.604,-157.546,-80.532,-157.9,10.3,10.3
2023-02-09T08:37:48Z,2023-02-09T08:39:48Z,41,2023-02-09T08:38:48Z,2023-02-09T08:37:18Z,-1.5,80.53,9.778,80.539,10.211,5.3,8.0
